symbol,datetime,open,close,high,low,volume,new york time,per_of_change,typical_mult_volume,Cumulative_TPV,Cumulative_Vol,vwap,buy_condition,order_type,instruction,order_time,fill_time,order_id,quantity,asset_type,order_status,Ticker,price,Manual_order_type,Manual_instruction,Manual_order_time,Manual_fill_time,Manual_order_id,Manual_quantity,Manual_asset_type,Manual_order_status,Manual_Ticker,Manual_price
TQQQ,2024-08-19 20:25:00,71.34,71.36,71.42,71.32,574.25,2024-08-19 16:25:00,0.0,40982.308333333334,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 20:30:00,71.35,71.45,71.45,71.35,391.75,2024-08-19 16:30:00,0.126,27977.479166666668,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 20:35:00,71.44,71.35,71.45,71.35,240.39,2024-08-19 16:35:00,-0.14,17159.8395,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 20:40:00,71.35,71.35,71.36,71.3,481.33,2024-08-19 16:40:00,0.0,34336.47776666666,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 20:45:00,71.32,71.31,71.35,71.3,109.16,2024-08-19 16:45:00,-0.056,7785.291200000001,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 20:50:00,71.3,71.3,71.33,71.29,135.26,2024-08-19 16:50:00,-0.014,9644.939733333333,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 20:55:00,71.29,71.26,71.29,71.25,185.71,2024-08-19 16:55:00,-0.056,13234.932666666668,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 21:00:00,71.25,71.25,71.26,71.23,223.66,2024-08-19 17:00:00,-0.014,15935.029466666667,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 21:05:00,71.24,71.29,71.29,71.24,274.52,2024-08-19 17:05:00,0.056,19565.955466666663,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 21:10:00,71.28,71.27,71.28,71.26,98.0,2024-08-19 17:10:00,-0.028,6984.46,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 21:15:00,71.27,71.25,71.27,71.25,55.18,2024-08-19 17:15:00,-0.028,3931.9428666666663,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 21:20:00,71.26,71.27,71.28,71.25,40.67,2024-08-19 17:20:00,0.028,2898.4153333333334,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 21:25:00,71.27,71.29,71.3,71.27,36.16,2024-08-19 17:25:00,0.028,2577.7258666666667,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 21:30:00,71.26,71.25,71.26,71.25,20.4,2024-08-19 17:30:00,-0.056,1453.5679999999998,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 21:35:00,71.26,71.29,71.29,71.26,42.66,2024-08-19 17:35:00,0.056,3040.8048000000003,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 21:40:00,71.27,71.27,71.3,71.26,79.41,2024-08-19 17:40:00,-0.028,5660.080099999999,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 21:45:00,71.28,71.27,71.28,71.26,22.41,2024-08-19 17:45:00,0.0,1597.1607,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 21:50:00,71.26,71.25,71.26,71.25,45.5,2024-08-19 17:50:00,-0.028,3242.0266666666666,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 21:55:00,71.25,71.3,71.31,71.25,159.01,2024-08-19 17:55:00,0.07,11335.292866666667,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 22:00:00,71.33,71.44,71.5,71.31,397.77,2024-08-19 18:00:00,0.196,28407.4075,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 22:05:00,71.44,71.44,71.48,71.43,276.37,2024-08-19 18:05:00,0.0,19746.6365,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 22:10:00,71.43,71.42,71.45,71.4,72.49,2024-08-19 18:10:00,-0.028,5177.477433333333,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 22:15:00,71.41,71.42,71.44,71.41,67.22,2024-08-19 18:15:00,0.0,4801.076466666666,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 22:20:00,71.43,71.46,71.46,71.42,127.52,2024-08-19 18:20:00,0.056,9110.878933333332,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 22:25:00,71.45,71.46,71.48,71.44,295.16,2024-08-19 18:25:00,0.0,21092.1336,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 22:30:00,71.46,71.44,71.46,71.43,305.71,2024-08-19 18:30:00,-0.028,21840.94143333333,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 22:35:00,71.44,71.49,71.49,71.42,227.22,2024-08-19 18:35:00,0.07,16238.655999999997,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 22:40:00,71.5,71.46,71.51,71.45,164.49,2024-08-19 18:40:00,-0.042,11756.648600000002,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 22:45:00,71.46,71.4,71.46,71.36,273.2,2024-08-19 18:45:00,-0.084,19508.30133333333,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 22:50:00,71.39,71.39,71.4,71.38,32.1,2024-08-19 18:50:00,-0.014,2291.619,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 22:55:00,71.41,71.41,71.43,71.4,27.87,2024-08-19 18:55:00,0.028,1990.2896000000003,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,
